入稿済み,タイムスタンプ,どの企業のESですか（部門も含めて）,いつの代の選考で使われたESですか,いつの選考ですか,出身大学,学部,ESを提出した時のこの企業への志望度を教えてください,このESはES選考を通過しましたか,この企業の最終的な選考結果を教えてください,１ESの質問（文字数まで含めて）,1その答え,2 ESの質問（文字数まで含めて）,2 その答え,3 ESの質問（文字数まで含めて）,3 その答え,4 ESの質問（文字数まで含めて）,4 その答え,5 ESの質問（文字数まで含めて）,5 その答え,6 ESの質問（文字数まで含めて）,6 その答え,7 ESの質問（文字数まで含めて）,7 その答え,8 ESの質問（文字数まで含めて）,8 その答え,9 ESの質問（文字数まで含めて）,9 その答え,10 ESの質問（文字数まで含めて）,10 その答え,11 ESの質問（文字数まで含めて）,11 その答え,12 ESの質問（文字数まで含めて）,12 その答え
,2017/06/22 16:16:38,野村不動産,18卒,秋・冬のインターン,早稲田大学,政治経済学部,5,はい,最終面接落ち,目標を達成するために、集団で取り組んだ経験を教えてください。（300文字程度),夏の演奏会の集客を２倍にしたことがあります。私の所属している合唱団は、毎年夏に東京を離れて演奏会をしていて、今年は長野市で開催されました。私はその夏の演奏会運営に携わりました。毎年、問題となっているのが「お客様の少なさ」で、それを解消することが今年の目標でした。そこで私は現地に何回も伺い、地域の皆様と広報活動をしながら交流を重ねました。話していて、一度軽くでいいから私たちの合唱を聞きたいとの声が多かったので、プレコンサートを運営担当で企画することにしました。団の規模もイベントの規模も大きくとても大変でしたが、その結果があってか、例年の倍近くの来客数を達成することができました。ここで培われた営業力と企画力はこれから活かしていきたいです。,最も難易度の高かった取り組みについて教えてください。（300文字程度）,‪最も難易度が高かった取り組みは中学時代の陸上部の目標です。私たちは「全国大会出場」を目標にしていました。特別良いメンバーが揃っていたというわけではなく、負けず嫌いの私と何人かが「負けたくない」という気持ちから言い出した結果でした。全国大会出場に必要なタイムやそれまでの道のりを皆で綿密に調べ、月毎に目標をたてました。それからの日々は陸上中心の生活でした。口だけにしたくないと、自分を追い込み続けました。早朝練→朝練→学校→部活→夜練→接骨院というスケジュールを三年続けました。私だけでなくみんなで高めあった結果、全国大会出場をリレーでも個人でも成し遂げることができました。あの達成感は今でも忘れられません。‬,社会人として働く上で、ご自身が大切にしたい軸や考え方を教えてください。（300文字程度),私は社会人として働く上で、高い目標を設定し続けることを大切にしたいと思っています。それは、仕事の成果を最も高める要因が「高い目標」だという考えがあるからです。そして、高い目標だけでなく、「その目標を一緒に達成しようとする仲間」も必要です。この考えに至ったのは陸上部の経験からです。中学時代は人も多く、皆を巻き込んで成長していけました。しかし、高校時代は人が少ないのに加え怪我人も多く、とても一緒に目標を追い求める状況ではありませんでした。その時に一緒に目標達成を目指す仲間の大切さに気づきました。なので私は、会社というチームの中で潤滑油として、情熱を持って周りを高い目標に巻き込んでいける人になっていけたらと思っています。,,,,,,,,,,,,,,,,,,
,2017/06/22 16:22:13,大和証券,18卒,秋・冬のインターン,早稲田大学,政治経済学部,6,はい,インターン参加,本インターンシップに興味を持った理由、また参加することで得たいものを入力して下さい。(400文字以下),"私は、「自己の知識面や人間的な成長ができる場所」を就職活動の軸に定めています。その中で証券は他の業界と違い商品自体に他社との差がありません。日々移り変わるものをマーケットとして扱っているからこそ、お客様の課題解決になるような幅広い視点での提案も必要となり知識がものをいう世界だと感じました。更に、お客様の大切な資産を扱う仕事であるからこその信頼関係が大事であると感じました。そのような所で自分を高めていきたいと思いました。
その中でも御社は証券会社に就職した先輩の話を聞くとチームを大事にしている印象が強かったです。もちろん成果は重要だけど、自分の会社が好きで会社のために働いているということを強く感じました。私は成果を求めて自分を高めたい気持ちはあるのですが、やはり共に働くチームも重視したいと思い御社を希望しました。インターンではそのような雰囲気を感じ、成果を出すプロセスを学べたらと思います。",自由記述(400文字以下),ここでは、私について知っていただけたらと思います。私は、日本では名前が特殊だったので様々な人に覚えてもらうことができました。その分、他の人より様々な人に話しかけていただくことが多かったです。なので後天的に初対面の人と話すことが得意になりました。それが私の一番の長所です。そこで様々な人と話したことでコミュニケーション能力も上がりました。中学、高校と陸上競技を続けていて全国大会まで出場できたのですが、無理をしすぎて大学では続けられなくなってしまいました。なので、子供のころに習っていたピアノが活かせないかと思い、大学では合唱団に所属しています。体育会系と文化系どちらも体験したことによって、雰囲気の違いであったり、考え方のプロセスの違いだったりを学べました。その結果、また人付き合いの幅が広がり、視野が広がるのを感じました。証券会社で、この力を活かせたら幸いです。ぜひよろしくお願い致します。,,,,,,,,,,,,,,,,,,,,
,2017/06/22 16:27:23,第一三共,18卒,秋・冬のインターン,早稲田大学,政治経済学部,4,はい,ES通過後、辞退,当社インターンシップに参加を希望する理由・目的をご記入ください。(300),MRという仕事に興味を持ち、それを学べる1番の場所であると感じたからです。私は人と直接関わっていく仕事をしたいと思っています。その中でも社会的に価値のあるものを広く提供できる営業職に興味を持ちました。私は、営業職についてのインターンを探していたところMRを知りました。知ってからとても興味を惹かれました。薬をお客様である医師に売る、届けるということは社会的にも価値が高いですし、これからの科学の発達具合を考えるとなくてはならない職です。そこで常に勉強を重ねながら働いていきたいと思えました。その中でも御社はMRという仕事を一から学べるインターンを企画してくださっています。それが大きな理由となります。,"あなたが学生時代(大学以降)に、最も力を入れて取り組んだこと(目標、結果、内容)について教えてください。
≪1≫
目標としていたことやそのような目標とした理由を簡潔にご記入ください。(150文字)",夏の演奏会の集客アップです。私たちの合唱団は夏は東京を離れて演奏会をしています。今年は4年ぶりに長野市での開催となりました。そこは4年前演奏会にお客様が全然来なかった無念の地でした。お客様の数は団員の演奏会の満足度にも直結します。私は今年こそは多くのお客様の前で歌いたいと思いこの目標をたてました。,"★≪2≫
その結果を簡潔にご記入ください。(100文字)",今年は、4年前の2倍近くの600名を超えるお客様が演奏会に来てくださりました。1000人近く入るホールだったので多少残念ではありましたが、とても満足しています。,"★≪3≫
結果に至るまでの取組み内容について、ご記入ください。
(特に大変であったこと、自分なりに工夫したこと、他者と協力したこと　等)(400文字)",集客イベントの企画が１番の取り組みです。私たちの夏の演奏会は、開催地で一週間合宿をして、その最終日に演奏をします。まず、集客があがらない理由として私は「合唱への関心の薄さ」を挙げました。合唱の素晴らしさを知ってもらわなければ、お金を払ってまで来てくれないと考えました。そこで私は、1週間の期間中に宿から出て、市民交流センターでのプレコンサートを企画しました。これは一週間練習をし続ける合宿であったものを壊す提案でした。そこで指揮者に練習を削ってこれをする意味を訴え理解してもらう努力を重ねました。承諾してくれた団員には感謝しています。そして、そのイベントを開催するのにお金をかけてはいけなかったので、場所を貸してくれるところを探すのに何度も何度も長野に足を運び、交渉を様々なところで重ねました。その交渉が最も大変でした。相手にもメリットがあるように交渉をするように工夫しました。とても成長できました。,,,,,,,,,,,,,,,,
,2017/06/22 16:37:31,日本総合研究所,18卒,秋・冬のインターン,早稲田大学,政治経済学部,5,はい,2次選考落ち,今後、学部・院において研究したい専門テーマとその理由をご記入ください。(400文字),私はゼミで計量経済学を学んでいます。計量経済学とは複雑な経済現象のメカニズムをシステムとして把握し、データに基づいて具体的に分析する学問です。ゼミ内では分析に用いる統計的手法についての研究（計量経済学理論）よりも、実際にデータを用いた分析（応用計量経済分析）を重点テーマとしています。私はまだ研究する内容を確定させてはいないのですが、今のところ公共投資の経済波及効果について調べています。県や国が公共投資を行うことによって、どのような産業がどれほど動きどれだけの経済波及効果を生み出すかを中心に見ています。なぜこの議論が有益かというと、公共投資はいつの時代も無くてはならないものであるということが大きいです。その公共投資で動く産業の構造を紐解くことによって、より効率的に経済を大きく動かすことができることに繋がります。私はそのような未来に活かせるようなことを議論したく、公共投資を選びました。,現在力を入れていること（研究、部活、学外連携、社会活動等）をご記入ください。(400文字),アルバイト先でのサービスの質の向上とリピーターを増やすことに力を入れています。私はイタリアンレストランでウェイターのアルバイトを2年間ほど続けています。イタリア産とフランス産にこだわったワインが推しのお店です。私は特にワインの知識が無かったので一からお店のワインのことを勉強しました。そして、そのワインの味だけでなくお店の料理に合うものを一緒に覚えました。その結果、お客様の疑問に対して最適なものをすぐに提案できるようになりました。お客様からも好評をいただき、お店にある私の名刺を持って何回も来店するお客様が増えました。それが店のリピーターや売り上げの増加に繋がりました。更に、私はサービスの質について本で勉強し、アルバイト内で積極的に共有しました。飲食業界は人の入れ替わりが激しく、教えられる人がいなかったからです。アルバイトから変わることでお店のサービスの質を落とさないように努力してきました。,自己PRをご記入ください(400文字),私の長所はコミュニケーション能力と、視点の多さです。私は名前と見た目が外人ですが、ずっと日本で暮らしているため日本語が母語です。そのギャップからか人から覚えてもらえることか圧倒的に多いのが特徴です。そのため初対面の方とお話することが多く、後天的にコミュニケーション能力が身につきました。様々な人と接してきたため、どのような人とも会話ができることが長所です。更に言えば、同じ物事でも様々な見方があることに気付かされました。同じニュースの話題を持ってきても印象がそれぞれ違うのには面白さを感じました。そのため、私は自分の中に何通りかの視点を持てるようになりました。様々な視点を持つことで、１つの意見にとらわれることがなく議論できるようになりました。このことは人に誇れる長所です。,インターンシップに期待すること、試してみたいことをご記入ください。(200文字),御社はシンクタンク系のコンサルティングファームでありながら、企業の事業戦略についても展開していらっしゃいます。更に、御社はシンクタンクとしての膨大な情報によって、未来への知見があるという強みがあると思います。そのような幅広いコンサルティング業務や未来への知見を持つレベルの高い場所で、なるべく幅広い知識を得られることを期待しています。,,,,,,,,,,,,,,,,
,2017/06/22 16:39:24,リクルートホールディングス,18卒,本選考,東京大学,工学部,6,はい,2次選考落ち,テーマ詳細,全日本学生競技ダンス選手権において個人の部で優勝,成果,全国100大学から集まる約1000人の選抜選手の中で、個人の部優勝,背景,高校時代は勉強に打ち込んでいたため、入部当初は肉体的に他の大学生に劣っていて1次予選で落ちることもあったが、先輩たちが素晴らしいダンスをしていて、全国大会で結果を出している姿を見て憧れた。また、自分の弱い点を底上げし、音楽性、体の柔らかさ、身長、目標に向かう姿勢など自分の良い点を生かせば結果はついてくると考えていた。,こだわり,成果を出すために、どんなことでもするということにこだわった。通常は学生は行かないレベルの高いアマチュア選手の練習会や、海外選手主催の練習会に参加したり、筋肉トレーニングの個人コーチについてもらったりした。他の学生がしていない努力の方法であったので、不安もあったが、絶対に成果を出すために必要だと考えて行った。,詳細②,学園祭の実行委員において装飾を作成,成果,高校時代の学園祭において過去最高といわれる4m×3m×3mの門を初めとして数々の装飾品を作成した。,背景,学園祭は高校2年生が運営するため、運営メンバーは1年生の頃から学園祭に関わっていた人が多かった。私は1年生の頃学園祭にあまり参加しなかったため、2年から参加する際に固定したコミュニティーに苦しんでいた。まず、それらのコミュニティーと仲良くなり信頼を勝ち取り、去年と同じことをすれば良いと考えている固定概念を取り払う必要があった。,こだわり,周りからの信頼を獲得するために、自分がプレイヤーとしてしっかり参加することには気を付けていた。私は、学園祭の来場者に喜んでもらうためには細部へのこだわりが重要だと考えていたため、信頼を勝ち得た後、会議で頻繁にそのような発言をしたり、個人的にメンバーと会をすることでそのような考え方を徐々に浸透させていった。その結果、過去最高といわれる作品群を作り出した。,,,,,,,,
,2017/06/22 16:41:05,A.T.カーニー,18卒,秋・冬のインターン,早稲田大学,政治経済学部,6,はい,3次面接落ち,『日本経済を成長させる為に、あなたならどの業界に投資しますか?』(600文字),私は、科学という業界でもバイオテクノロジーを用いた食料生産に集中して投資するべきだと考えています。それによって最大の投資効果を得られると考えています。まず、ここに至るまでの発想として食料難がありました。人口が絶えず増加する中、地球の資源は減る一方です。2025年には人口が80億人を突破し、食料自給率が40%を切っている日本は深刻な食料危機になるだろうと予想されます。そこをバイオテクノロジーによって進化した穀物や野菜が埋めていけるのではないかと思っています。ここでいうバイオテクノロジーは、主に画期的な栽培方法を指しています。日本が誇る科学技術であれば画期的なものがいくつも生まれるはずです。事実、既に地下や建物内での栽培が可能になっている野菜がいくつもあります。自分の家のベランダにペットボトルを置いて水を与えるだけで野菜が出来るようになってきています。この技術が発展していけば、食料自給率の改善や食糧不足を解消できると思います。GDPを構成しているのは、民間消費＋民間投資＋政府支出＋純輸出です。この技術が進めば全ての要素が大きくなる予想があります。日本の製品のウリは正確さと品質です。科学製品の食べるものではまだ抵抗があるのが事実です。しかし、日本の誇る正確さと品質で世界にも売り出していける製品になると思います。このように、世界的にも日本的にも大きな投資効果が得られると思われます。,,,,,,,,,,,,,,,,,,,,,,
,2017/06/23 16:00:20,マネックスグループ,18卒,夏のインターン,東北大学,理,4,はい,インターン参加,自己PR,"私の長所は適応力です。予期せぬ出来事は、それに対応する面白さを与えてくれます。私の長所は、４年間の個別指導塾のアルバイトで磨かれました。授業前にその日の授業計画は立てますが、生徒が教科を勘違いして教室に来たり、前回の授業の理解度が不十分だったりと、授業計画を変更しなければならないことがよくありました。私は即座に授業計画を立て直し、授業の質を保つことが得意でした。特に、少ない授業回数で生徒の得点源を見つけ、臨機応変に対策する必要がある定期テスト対策では生徒からの評判がよく、アルバイト２年目からは定期テスト対策のリーダーを任されました。私の強みは、発展著しく、状況が常に変化する分野で発揮されると思います。特にフィンテック分野に興味があり、この分野の発展は旧態依然とした銀行業界や、日本人の現金主義を破壊するものではないかと思われ、非常にワクワクしています。
",専攻,"燃料電池電解質の研究に取り組んでいます。クリーンなエネルギーで走る自動車として、トヨタのMIRAIに代表される燃料電池車が近年注目を集めています。燃料電池中で水素は水素イオンと電子に分離しますが、水素イオンを透過する役割を担うのが電解質です。本研究は摂南大学、デンソーと共同で行っており、今年春の物理学会で卒業論文の内容を他大学、企業の研究者に向けて発表しました。学会一カ月ほど前から研究室内で発表練習を繰り返し、原稿、スライドの推敲を重ねました。特にスライドでは、見た方が理解しやすいようできるだけ文章を削り、グラフ、図で伝えることを意識しました。学会での発表、質疑応答を乗り越えられたこと、共同研究者の先生からお褒めの言葉を頂いたことは今後の研究の上での自信、モチベーションとなりました。この先の学会発表、修士論文発表ではさらに良い発表ができるよう、残り期間研究に励みます。
",志望動機,"もともとは、ネット銀行、決済サービス等の、金融を支えるSI事業に興味をもち、業界研究を行っていました。その中で、金融の視点からITがどのように活用できると考えられているかも勉強する必要があると思っていたところ、貴社のインターンシップを発見しました。私は普段使いの口座にはソニー銀行、家計簿にはマネーフォワードを利用しているのですが、そのどちらにも貴社が浅からぬ影響を与えていることを知りました。また、NewsPicksでの松本社長の連載を読み、社長のマンガのような人生に魅せられてしまいました。貴社の「未来の金融を創造する」という理念や、フラットで風通しのよい社風はベンチャーマインドを感じさせ、この先の急速に変化する社会においても、即座に対応していける希望を感じました。インターンシップでは、貴社の社風、人材を肌で感じ、金融業界への理解を深めるとともに、他の参加者との議論を通して、未来の金融の可能性を学びたいと思います。

",,,,,,,,,,,,,,,,,,
,2017/06/23 16:02:49,NTTデータ,18卒,夏のインターン,東北大学,理,5,いいえ,ES落ち,NTTデータのインターンシップに応募した理由を教えてください。,昨年研究室の先輩が貴社から内定を頂いたことがきっかけで、 SI業界に興味を持ちました。特に製造業分野でのITを活用した生産性の向上と、決済サービス、ネット銀行等のフィンテック分野に関心を持っています。インターンシップでは幅広い分野でシステム構築を行っている貴社の業務内容を理解するとともに、 ITが社会をどのように変革できるか学び、他の参加者や、社員の方々と議論したいと思っています。,今までの経験の中で、一番やりがいを感じた経験を教えてください。,個別指導塾のアルバイトで、担当した高校生の大学受験指導をしたことです。学習プランは私に一任されたので、本人と面談しながら学習計画を作成し、時には私自身で問題を作成しました。４年間アルバイトしていましたが、大きな責任を伴いながら、戦略を練ることは最もやりがいを感じた経験となりました。結局生徒は不合格と、結果を出せなかったことと、それでも生徒から感謝の手紙を頂いたことは忘れられません。,日常でおかしいと感じていることは何ですか？その内容を理由とともに教えてください。,"携帯電話三大キャリアの料金設定がMVNO各社に比べ非常に高いことがおかしいと思っています。三大キャリアの使用者には携帯電話料金に無頓着、あるいは知識がないために本来必要としないサービス、データ使用量にお金を払っている人も多いと思います。現在の料金設定はそれらの人々から搾取しているように思うのですが、実際のところどういう意図で料金設定がなされているか気になります。
",集団で活動する際にどのような役割につくことが多いですか？理由とともに教えてください。,"自分が所属する集団は、メンバー同士の仲が良く、議論すべきことは活発に議論する活気づいた集団であってほしいという理想があります。その理想の実現のために、集団の中では繋ぎ役であることが多いです。例えば研究室内のセミナーでは、聞き手がただ聞いているだけにならないよう、また、質問によって発表の質が高まるよう、全体に質問を促しています。また、月に一度は飲み会を企画し、お互いがより仲良くなれるようにしています。
",,,,,,,,,,,,,,,,
〇,2017/06/23 16:04:50,野村総合研究所（IT）,18卒,夏のインターン,東北大学,理,5,はい,Skype面接・テストセンター落ち,"あなたがこだわりを持って取り組んできたこともしくは挑戦してきたことについて、教えてください。
挑戦に至った経緯とその中で気付いたあなた自身の発見も併せて教えてください。
",個別指導塾のアルバイトで、自分を含む講師陣が働きやすい環境となるよう、ミーティングで意見を発信し続けました。その成果の例として、授業後の報告書の様式をより簡素なものに変更することを達成しました。情報の共有には報告書は必要でしたが、項目と記入量の多さが、雑な記入と、講師のモチベーションの低下を招いていました。記入項目の見直しを行い、項目の変更、削除を行った草案をミーティングで提出し、議論の上で教室長から承認を得ることができました。記入しやすい報告書へと改善することができ、他の講師からは、報告書の負担が減ったことで、より授業に集中できるようになったという声を聞くことができました。この場合の報告書だけでなく、私が研究で行っている作業でも、より効率化、時間短縮できるものがあることに気づかされました。インターンシップでは、世の中の仕事がITでどのように効率化できるか学びたいと思っています。,"NRIでは幅広い業界の顧客にソリューションを提供しており、顧客業務分析やシステム設計・開発などの様々な仕事をチームで進めていきます。
あなたがNRIのシステムエンジニアになったとしたら、特にやってみたいのはどのような仕事・業務領域ですか。その理由とともに教えてください。
","決済サービスに向けたシステムの提供をしてみたいと考えています。日本はクレジットカード後進国とも呼ばれ、クレジットカードが利用できる店舗が依然として少ないことが問題となっています。また、Apple Payなどの決済サービスの上陸も遅れています。2020年の東京オリンピックに向けて、あるいは外国人観光客の誘致に向けて、現金以外での決済サービスの充実は急務だと感じています。日本人は現金主義であると言われるように、客側も店側も、特に少額の買い物であればほとんどの場合現金での決済を行います。コンビニの支払いで電子マネー、カードを用いる人はあまり見ることがありません。客側に対しては電子マネー、カードを利用する心理的障壁を低くするようなサービスを提供したいです。店側に対しては、決済サービスの導入、運用コストが下がるようなサービスを提供することに貢献したいと考えています。
",,,,,,,,,,,,,,,,,,,,
,2017/06/24 22:00:50,JACリクルートメント,18卒,本選考,同志社大学,経済学部,6,はい,内定,興味を持って取り組んだ科目・研究課題についてご入力ください。（300文字以内）,"興味をもって、取り組んだ科目は、WEBデザインだ。メディアを扱うサークルの運営をしており、HPを作成して、メディアにて貢献したいと思ったからだ。しかし、まずはなにを始めたらいいのかわからんず、本から学ぼうとしてが、うまくいかなかった。そこで、3ヶ月のスクールに通い、その後、1日、1時間はコードを書くことを目標に、進めていった。わからないことは、ネットで調べ、友人に聞いたりし、コードを改善する作業を毎日繰り返した。その結果、5ヶ月で、サークルのHPが完成し、photoshop、HPの立ち上げを0から経験することができた。ここから、粘り強く継続し、やりきる大切さを学んだ。 
",学生時代に力を注いだことをご入力ください。（300文字以内）,"100日間、インドで、広告営業の海外インターンを経験したことだ。
1日18時間を週6日働く環境にて、日々、受注1件を目標に、飛び込み営業をしていた。しかし、最初の1ヶ月目は全く成果が出ず、そこで、その原因を分析した時に、営業を「自分のために」しかしていなかったことに気付いた。そこから「クライアントのため」という考え方にシフトして、
「クライアントのこと」を徹底的に考えて、営業をした結果、10人のインターン生の中で、50万を売り上げ、1位を取得することができた。
この時に、自分のためではなく、誰かのためにという考え方が、成果を出す上でも、人生においても大事だと成功体験を持って、学ぶことができた。 
",趣味・特技をご入力ください。（任意）（150文字以内）,"趣味はラーメン巡りです。大学2回生の頃、京都の食べログtop10を制覇しました。また、東京に来た際は、1日3色ラーメンを食べています。
特技は、人の感情を読み取ることです。営業をしていたせいか、人の表情、声のトーン、目の動きで、その人の言葉の感情を読み取ることに長けていると思います。 
",現在お持ちの資格がございましたらご入力ください。（任意）（150文字以内）,"日商簿記三級
普通自動車免許",自己PRをご入力ください。（300文字以内）,"私の強みは、目標に向かって、行動し続けることだ。

2ヶ月間、学生責任者として新規事業のフィジビリティに取り組んだ時、「事業化すること」を目標に掲げていたが、実際のFBは厳しく、チームのモチベーションが低下していった。そこで、「このメンバーでやりきることに意味がある、期待を越えよう」と目標の魅力と危機感ををメンバーに伝え、行動した結果、3チーム中、自分たちのチームのみが、次回アクションの許可を得た。

このように、目標と現状とのGAPの負荷をかけ、「やってやる」という反骨心と「後悔したくない」という思いから、目標に対して、進んでいけると考えている。 ",,,,,,,,,,,,,,
,2017/06/24 22:01:23,NTTdocomo,18卒,本選考,同志社大学,商学部,7,はい,内定,「学生時代にチャレンジしたエピソードを語ってください（成功・失敗問わず）」（200文字以内）,大学2年生の2月に同志社同女成人式というイベントを開催したことです。発足は2年生の8月で「同じ大学で同世代という縁があるのに、出会えていない人が多すぎる。もっと刺激的な出会いがあるはず。」という想いからでした。そこから運営組織を20人に拡大し、コンテンツ企画、協賛企業獲得のための営業、集客に注力しました。イベント自体は参加者満足度が高く納得があり、自分の想いを形にする楽しさを知ることができました。,「ドコモで叶えたい夢を教えてください」（200文字以内）,私は自分の存在意義として後世に残るようなサービス・プロダクトを生み出したいです。今まで参加したベンチャー企業のインターンで新規事業を作り方の一部を知ったものの、リソースの欠如から実際にローンチして事業を回していくイメージが持てませんでした。しかし御社のインターンでは技術・資金・社名ともに社会に大きなインパクトを与えられるイメージが湧きました。私は御社で新しいあたりまえになることを生み出したいです。,,,,,,,,,,,,,,,,,,,,
,2017/06/24 23:58:50,三井住友海上火災保険,18卒,本選考,東北大学,経済学部,6,はい,ES通過後選考辞退,あなたがこれまでに困難に向き合い、乗り越えてきた経験、または実現してきた経験を教えてください。（300字）,私は高校時代にテニス部に所属していた。私は部活動の中で唯一の初心者だった。1年生のうちは周りと比較しては自信をなくしていた。試合もストレート負けばかりであった。しかし、2年生になった頃、「フォームは久保が一番きれいだ」と先生に言われた。非常に嬉しかった。それまで自信のなかった私だったが、それからは自分の小さな進歩を認めるようにし、自信をつけた。自信がついた結果、向上心も湧くようになり、難しい練習にも挑戦するようにした。その結果、3年生の最後の大会で、強豪高校の選手から4セットをとるほどに成長することができた。この経験から、常に自分と向き合い自分を認めることが成果をうむことに繋がることを学んだ。,あなたが異なる価値観に影響を受けた経験を教えてください。（300字）,「全ての責任は自分にある」。これは自己啓発セミナーの運営をしたときに学んだ価値観だ。私は参加者の学びをサポートする役割だったが、参加者に学ぶ意欲があまりなかった。講師の話をメモする人は少なく、別のことをする人もいた。「メモをとって」「話を聞いて」と言っても効果はなかった。それを他の運営メンバーに相談すると、「自分が一番学ぶんだっていう姿勢をみせてごらん」と言われた。そこで、私は講師の話をメモし、話を頷きながら聞くようにした。すると参加者も徐々にメモを取ったり、話にリアクションをしたりと、学びの意欲が見られるようになった。他者を変えるには、まずは自分の行動や思考を変えることが必要だと学んだ。,あなたが自ら学び考え、行動した経験を教えてください。（300字）,私はホテルでアルバイトをしている。その中でも、お客様一人ひとりにあった対応を心がけてきた。ホテルに対する口コミを読み、一人ひとり求めていることが違うことに気づいた。そこで、私はお客様を見て性格や宿泊目的を考え、案内事項を加減した。これは、それまでマニュアル通りの案内をしていた私にとって非常に難しかった。また、お客様全員に口コミを書いてもらえないので、ひとつひとつの接客に対する評価がわからず、非常に不安であった。しかし、続けた結果、社員さんから評価され、社員さんにしかできない仕事を任せてもらえるようになった。この経験で、継続して努力することで、直接的でなくても評価や結果となることを学んだ。,あなたが他者を巻き込み、リーダーシップを発揮した経験を教えてください。（300字）,私は、イベントを企画・運営するサークルに所属している。そこでは、新入生の交流会を行っている。友達を作ってもらうことが交流会の目的だ。だが、新入生同士の交流が十分になく、あまり仲良くなれていないという課題があった。そこで私は交流会の内容を変えることを提案した。初めは反対意見も多かったが、自分自身の想いを伝え、一人ひとりにどのような交流会を作りたいか聞き、賛同者を増やしていった。その結果、全員が内容を変えることに賛同してくれた。また、全員の意見のいいところを取り入れた新しい内容を作ることができた。一人ひとりと向き合って自分と相手の想いをすり合わせることで、全員が納得した結果となることを学んだ。,あなたが三井住友海上を志望する理由を教えてください。（200字）,私は、損害サポートの業務に携わり、事故にあったお客様が安心して新たな一歩を踏み出す後押しをする人となりたい。貴社は「立ち止まらない保険」というスローガンのもと、常に挑戦をし、お客様に向き合うことで成長していく風土があると思っている。そのような貴社で、常にお客様一人ひとりに向き合うことで、自分の理想に近づけると考えている。「あなたが担当でよかった」と全てのお客様に言われるような人になりたい。,,,,,,,,,,,,,,
,2017/06/25 0:00:50,日本郵便,18卒,本選考,東北大学,経済学部,5,はい,ES通過後選考辞退,日本郵政グループを志望する理由を教えて下さい（200文字程度　300字以内）,私が貴グループを志望する理由は、「トータル生活サポート企業」を目指して、貴グループ各社が常に上を目指していることに非常に魅力を感じたためである。貴グループ各社は、物流・銀行・保険という業界の枠にとらわれず、お客様のために常に新しい価値を生み出してきているように感じる。私はお客様によりそった仕事がしたいと考えている。そのためには絶えず変化するお客様のニーズを感じとり、サービスの価値を高める努力をしなければならないと考えている。グループ全体として上を目指している貴グループの一員として働くことで、私自身もその考えを体得し、理想のビジネスパーソンになりたい。,日本郵便を志望する理由を教えて下さい（400文字以内）,私が貴社を志望する理由は2つある。1つは郵便局には無限の可能性があると感じたためである。インターンシップのグループワークで、郵便局でできることを考えた際、同じ課題であったにも関わらず、どのグループも全く違う企画を考え付いたことで、様々な角度から事業ができると感じた。郵便局は各地域の中心であると同時に、全国を繋ぐネットワークでもある。その郵便局を通してお客様に価値を提供することで、イキイキとした人や社会の創造に貢献したい。もう1つは貴社の社員の方の人柄に惹かれ、一緒に働きたいと感じたためである。インターンシップの際に、お話しした全ての社員の方が丁寧にアドバイスをくださったこと、私達の話を親身になって聞いてくださったことが非常に印象に残っている。そのような社員の方が多くいる貴社なら、若手であっても社員一人ひとりが尊重され、常に自分の目指すべき高い目標をもって働けると感じている。,学生時代に最も苦労あるいは努力した経験、そしてそこから学んだことを具体的に教えて下さい。（400文字以内）,私はビジネスホテルでアルバイトをしている。その中で、お客様一人ひとりにあった対応をするよう努力してきた。口コミを読み、一人ひとり求めていることが違うことに気づいたことがきっかけだった。お客様の行動、話し方、服装からどのような人なのかを推測し、性格や宿泊の目的を考え、宿泊回数なども考慮して、案内事項を加減した。自分の判断で案内を変えることは、それまでマニュアル通りの接客をしていた私にとって非常に難しいものであった。また、お客様全員には口コミを書いてもらえないので、ひとつひとつの接客に対する評価がわからず、非常に不安であった。しかし、続けた結果、社員さんに「アルバイトの接客とは思えない」と言われたり、社員さんにしかできない仕事を任せてもらえたりするようになった。この経験から、不安や困難があっても目的に向かって継続することで、直接的でなくても評価や結果になって現れることを学んだ。,,,,,,,,,,,,,,,,,,
